=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:25.951] [R2] started
[22:43:26.174] [R4] read: "X"
[22:43:26.175] [R2] read: "X"
[22:43:26.178] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:26.180] [W4] wrote: "X"
[22:43:26.189] [R3] read: "X"
[22:43:26.198] [R2] read: "X"
[22:43:26.201] [W6] wrote: "X"
[22:43:26.205] [R1] read: "X"
[22:43:26.214] [R4] read: "X"
[22:43:26.218] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:26.221] [W2] wrote: "X"
[22:43:26.224] [R5] read: "X"
[22:43:26.227] [R1] read: "X"
[22:43:26.231] [W5] wrote: "X"
[22:43:26.236] [W8] wrote: "X"
[22:43:26.244] [R3] read: "X"
[22:43:26.245] [R2] read: "X"
[22:43:26.245] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.247] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.249] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.260] [W3] wrote: "X"
[22:43:26.263] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.266] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.274] [W1] wrote: "X"
[22:43:26.274] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.277] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.278] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.281] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.288] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.297] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.301] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.310] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:26.312] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:26.313] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:26.314] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.321] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.321] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.333] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.337] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.340] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.345] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.347] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:26.347] [W6] wrote: "Race!"
[22:43:26.348] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.360] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:26.362] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:26.364] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:26.367] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.370] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:26.371] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:26.375] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.382] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.384] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.394] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:26.404] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:26.405] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.407] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:26.411] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:26.413] [W4] wrote: "Race!"
[22:43:26.414] [W7] wrote: "Race!"
[22:43:26.415] [R5] read: "Race!"
[22:43:26.421] [R3] read: "Race!"
[22:43:26.422] [W8] wrote: "Race!"
[22:43:26.438] [W3] wrote: "Race!"
[22:43:26.440] [R1] read: "Race!"
[22:43:26.444] [R4] read: "Race!"
[22:43:26.447] [W5] wrote: "Race!"
[22:43:26.450] [W1] wrote: "Race!"
[22:43:26.453] [R5] read: "Race!"
[22:43:26.455] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.460] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.464] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.466] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.469] [W2] wrote: "Race!"
[22:43:26.470] [R1] read: "Race!"
[22:43:26.486] [R4] read: "Race!"
[22:43:26.488] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.493] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.501] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.504] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:26.506] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:26.508] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.508] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.513] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.517] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.520] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.530] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.530] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.530] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.541] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.546] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:26.551] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.552] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.556] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:26.559] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.565] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:26.572] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:26.573] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.582] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.583] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.583] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.588] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.589] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.597] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:26.600] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.602] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.607] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.613] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.614] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.617] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.618] [W6] wrote: "AB"
[22:43:26.621] [R3] read: "AB"
[22:43:26.621] [W4] wrote: "AB"
[22:43:26.627] [R4] read: "AB"
[22:43:26.635] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:26.636] [W3] wrote: "AB"
[22:43:26.636] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.639] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.640] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.650] [W7] wrote: "AB"
[22:43:26.660] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.662] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.662] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.666] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.667] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.669] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.676] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.679] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:26.685] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.687] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.688] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.693] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.712] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.713] [W5] wrote: "AB"
[22:43:26.720] [R2] read: "AB"
[22:43:26.722] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.722] [W1] wrote: "AB"
[22:43:26.725] [R5] read: "AB"
[22:43:26.725] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.726] [W2] wrote: "AB"
[22:43:26.727] [R4] read: "AB"
[22:43:26.730] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.732] [W8] wrote: "AB"
[22:43:26.733] [R3] read: "AB"
[22:43:26.736] [R1] read: "AB"
[22:43:26.739] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.750] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.751] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.754] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.760] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.762] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.775] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.782] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.783] [W4] wrote: "Test"
[22:43:26.784] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.787] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.791] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.791] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.792] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.798] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.798] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:26.800] [W7] wrote: "Test"
[22:43:26.801] [W6] wrote: "Test"
[22:43:26.808] [R5] read: "Test"
[22:43:26.816] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.820] [W5] wrote: "Test"
[22:43:26.821] [R3] read: "Test"
[22:43:26.822] [W3] wrote: "Test"
[22:43:26.831] [R4] read: "Test"
[22:43:26.831] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.832] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.834] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.839] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.844] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.855] [W1] wrote: "Test"
[22:43:26.862] [R2] read: "Test"
[22:43:26.863] [W8] wrote: "Test"
[22:43:26.871] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.872] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.875] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.875] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.880] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.882] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.886] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:26.899] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.912] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.916] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.916] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.920] [W2] wrote: "Test"
[22:43:26.921] [R2] read: "Test"
[22:43:26.930] [R4] read: "Test"
[22:43:26.933] [R3] read: "Test"
[22:43:26.936] [R5] read: "Test"
[22:43:26.937] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.940] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.950] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.952] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.965] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.967] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.970] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.972] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.976] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.976] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.978] [W7] wrote: "!"
[22:43:26.992] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:26.994] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.995] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:26.999] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:27.005] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:27.013] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:27.017] [W8] wrote: "!"
[22:43:27.020] [W4] wrote: "!"
[22:43:27.021] [R2] read: "!"
[22:43:27.026] [W6] wrote: "!"
[22:43:27.026] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:27.030] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:27.030] [W5] wrote: "!"
[22:43:27.039] [R3] read: "!"
[22:43:27.041] [R5] read: "!"
[22:43:27.056] [W3] wrote: "!"
[22:43:27.059] [R4] read: "!"
[22:43:27.059] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.064] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:27.064] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.065] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.069] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.078] [W2] wrote: "!"
[22:43:27.079] [R5] read: "!"
[22:43:27.079] [R2] read: "!"
[22:43:27.079] [W1] wrote: "!"
[22:43:27.081] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.094] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:27.095] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.101] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.108] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.112] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.121] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:27.133] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:27.135] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.135] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:27.135] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:27.135] [W5] wrote: "A"
[22:43:27.139] [R2] read: "A"
[22:43:27.144] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.154] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.155] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.155] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:27.155] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:27.162] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:27.170] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.175] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.176] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.184] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.186] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.186] [W8] wrote: "A"
[22:43:27.188] [R5] read: "A"
[22:43:27.189] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.192] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.202] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:27.204] [W7] wrote: "A"
[22:43:27.204] [R2] read: "A"
[22:43:27.222] [R5] read: "A"
[22:43:27.225] [W2] wrote: "A"
[22:43:27.228] [W1] wrote: "A"
[22:43:27.230] [R4] read: "A"
[22:43:27.232] [W5] wrote: "Hello World!"
[22:43:27.237] [W4] wrote: "A"
[22:43:27.241] [R3] read: "A"
[22:43:27.243] [W8] wrote: "Hello World!"
[22:43:27.244] [R1] read: "Hello World!"
[22:43:27.249] [W6] wrote: "A"
[22:43:27.253] [R4] read: "A"
[22:43:27.259] [R2] read: "A"
[22:43:27.265] [W1] wrote: "Hello World!"
[22:43:27.269] [R1] read: "Hello World!"
[22:43:27.274] [R5] read: "Hello World!"
[22:43:27.286] [R4] read: "Hello World!"
[22:43:27.287] [W3] wrote: "A"
[22:43:27.288] [R3] read: "A"
[22:43:27.293] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.299] [W7] wrote: "Hello World!"
[22:43:27.300] [W2] wrote: "Hello World!"
[22:43:27.301] [R1] read: "Hello World!"
[22:43:27.303] [R5] read: "Hello World!"
[22:43:27.306] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.314] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.315] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:27.318] [W4] wrote: "Hello World!"
[22:43:27.320] [W6] wrote: "Hello World!"
[22:43:27.335] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:27.338] [R4] read: "Operating systems manage hardware and software resources."
[22:43:27.338] [R2] read: "Operating systems manage hardware and software resources."
[22:43:27.347] [R3] read: "Operating systems manage hardware and software resources."
[22:43:27.350] [R5] read: "Operating systems manage hardware and software resources."
[22:43:27.352] [R1] read: "Operating systems manage hardware and software resources."
[22:43:27.367] [W3] wrote: "Hello World!"
[22:43:27.370] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.372] [W8] wrote: "X"
[22:43:27.372] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:27.382] [R3] read: "Operating systems manage hardware and software resources."
[22:43:27.382] [R2] read: "Operating systems manage hardware and software resources."
[22:43:27.387] [R4] read: "Operating systems manage hardware and software resources."
[22:43:27.388] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.394] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.397] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:27.400] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.400] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:27.407] [R5] read: "Operating systems manage hardware and software resources."
[22:43:27.412] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:27.416] [W5] wrote: "X"
[22:43:27.423] [R4] read: "X"
[22:43:27.424] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:27.426] [R3] read: "Operating systems manage hardware and software resources."
[22:43:27.435] [R2] read: "Operating systems manage hardware and software resources."
[22:43:27.436] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:27.443] [W1] wrote: "X"
[22:43:27.446] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.450] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.456] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.459] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.471] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:27.473] [R4] read: "Operating systems manage hardware and software resources."
[22:43:27.475] [R2] read: "Operating systems manage hardware and software resources."
[22:43:27.480] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.487] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:27.487] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.489] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.493] [W2] wrote: "X"
[22:43:27.493] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:27.501] [R1] read: "Operating systems manage hardware and software resources."
[22:43:27.505] [R2] read: "Operating systems manage hardware and software resources."
[22:43:27.505] [R5] read: "Operating systems manage hardware and software resources."
[22:43:27.506] [R4] read: "Operating systems manage hardware and software resources."
[22:43:27.519] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.527] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:27.529] [W6] wrote: "X"
[22:43:27.529] [W4] wrote: "X"
[22:43:27.531] [R2] read: "X"
[22:43:27.534] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.535] [W3] wrote: "X"
[22:43:27.541] [R5] read: "X"
[22:43:27.547] [R4] read: "X"
[22:43:27.547] [R3] read: "X"
[22:43:27.550] [W7] wrote: "X"
[22:43:27.552] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.553] [W5] wrote: "Race!"
[22:43:27.555] [R1] read: "Race!"
[22:43:27.558] [R2] read: "Race!"
[22:43:27.565] [R5] read: "Race!"
[22:43:27.567] [R3] read: "Race!"
[22:43:27.569] [W8] wrote: "Race!"
[22:43:27.569] [R4] read: "Race!"
[22:43:27.576] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.583] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.593] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.598] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.599] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.604] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.606] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.609] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.621] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.624] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:27.624] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.628] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.628] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:27.629] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.632] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:27.640] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.650] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.653] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:27.653] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:27.666] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:27.666] [W6] wrote: "Race!"
[22:43:27.669] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:27.673] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:27.676] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:27.680] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:27.682] [W2] wrote: "Race!"
[22:43:27.685] [W7] wrote: "Race!"
